Array Size,Time (s),Memory (KB)
100,0.00013113021850585938,0.0
1000,0.004181861877441406,2.53125
10000,0.06691217422485352,3.5
100000,0.7706258296966553,4.96875
1000000,9.995025873184204,6.40625
10000000,115.41290020942688,6.59375
